Area,Parent,Name,Route,Type,Params,Entry Points,Secondary Entries,Auth,Context,Purpose,Functionality,Actions,Tabs,Modals,Data Source,Backend,Status,Visibility,Source File,Route File,Notes,Matrix Row ID,PP Equivalent Name,PP Route(s) Today,PP Route Exists,PP Source File(s),PP Nav Entry Point,PP Auth / Role Gate,PP Data Source,PP Backend Endpoint / Function,PP Backend Connected,PP Functional Status,Match Status,Match Confidence,UI Parity,Functional Parity,Route Decision,Target PP Route (Decided),Naming Decision (Label To Use),Nav Placement Decision,Deep Link Pattern,Lovable-Only Feature,Fake-Backend Risk,Preserve-PermitPilot-Logic Notes,Do-Not-Replicate Reason,Required Backend Work,Required Frontend Work,Blocking Dependencies,Priority,Risk,Effort,Phase,Acceptance Criteria,Test / Verification Hook,Owner Decision Needed,Audit Notes
Delivery,—,Operations Board,/operations,static,none,sidebar → Delivery › Operations Board,direct URL,signed-in,none,Monday-style board,Task groups,"view only, filter","Reimbursables, Scope & Pricing, PM Workflows",—,static mock,Mock,Mock,always visible,src/pages/OperationsBoard.tsx,src/App.tsx,—,L021,— (no PermitPilot equivalent),— (none),No,— (none),Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,Not implemented,Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Defer,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,"Medium — plausible future surface, but building it now would require mock data","No PermitPilot logic exists on this path, so nothing to preserve.",A Monday-style task board needs a task/group/assignment domain PermitPilot does not have. Reimbursables and scope-pricing tabs imply a financial model that also does not exist.,"New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,"Needs a task domain, an assignment model and a pricing model.",P3,High,XL,Backlog — revisit after visual alignment phases complete,No acceptance criteria yet. Promote to a real phase only after a backend design exists and this matrix row is updated.,n/a — nothing to test until scope changes,Yes — needs a product decision on whether PermitPilot should own this domain,Lovable page is mock across all three tabs.
Delivery,—,Permit Filing (Guided Flow),/matrix/guided,static,none,sidebar → Delivery › Permit Filing,direct URL,signed-in,none,Guided filing wizard,Step through packet,submit,steps,—,static mock,Mock,Mock,always visible,src/pages/GuidedFlow.tsx,src/App.tsx,—,L022,Permit Wizard Filing,/permit-wizard-filing,Yes,src/pages/PermitWizardFiling.tsx; src/components/permit-wizard/StartFilingDialog.tsx,Sidebar → Permit Filing; project filing CTA,Signed-in via ProtectedLayoutRoute,"Supabase permit applications, project documents, portal_credentials",permitwizard-preflight; permitwizard-execute; epermit-submit; document-preparation-agent,Yes,Working,Strong functional match,High,Partial — Lovable's stepper chrome is cleaner; the underlying steps differ because PermitPilot's are real,PermitPilot is far ahead — Lovable steps through a mock packet; PermitPilot runs preflight and executes real portal submissions,Keep PP route,/permit-wizard-filing,"Use Lovable's ""Permit Filing"" label in the sidebar, pointing at /permit-wizard-filing",Delivery group in the sidebar,n/a,No,High — this surface performs real submissions; a cosmetic rebuild that bypasses preflight could file incorrectly,"Preserve the permitwizard-preflight → permitwizard-execute contract, credential handling, document mapping and every confirmation gate. Do not reorder or remove steps.","Do not replace real steps with Lovable's mock packet steps, and never submit without preflight.",None.,"Restyle the stepper, step headers and review panel using Lovable's visual language while leaving step logic untouched.",No live utility submissions during testing without explicit approval (shared Supabase on Railway development).,P1,High,M,Phase 4 — delivery and intelligence surfaces,Preflight still runs before execute; every existing confirmation gate remains; step order unchanged; no live submission triggered during verification.,"npx vitest run (permit wizard coverage); dry-run preflight only, no execute",Yes — approval required before any live submission test,Mapping confirmed: Lovable /matrix/guided ↔ PermitPilot /permit-wizard-filing.
Delivery,—,Response Matrix,/matrix/response,static,none,sidebar → Delivery › Response Matrix,direct URL,signed-in,none,Comment reconciliation,Draft/respond,edit,—,—,static mock,Mock,Mock,always visible,src/pages/ResponseMatrix.tsx,src/App.tsx,—,L023,Response Matrix,/response-matrix,Yes,src/pages/ResponseMatrix.tsx; src/pages/CommentReview.tsx; src/pages/ClassifiedComments.tsx,Sidebar → Response Matrix,Signed-in via ProtectedLayoutRoute,"Supabase parsed_comments, comment responses, project documents",parse-permit-comments; comment-parser-agent; discipline-classifier-agent; generate-response; generate-grounded-response; export-response-package,Yes,Working,Strong functional match,High,"Partial — Lovable's matrix grid, row density and status chips are the target styling",PermitPilot is far ahead — Lovable drafts against mock comments; PermitPilot parses real comment letters and generates grounded responses,Keep PP route,/response-matrix,"Keep ""Response Matrix""",Delivery group in the sidebar,n/a,No,"Medium — grid columns must map to real parsed_comments fields, not Lovable's invented ones","Preserve comment parsing, discipline classification, grounded response generation, citation references and the export package path. Response text generation must keep going through the existing edge functions.",Do not add matrix columns that parsed_comments cannot populate.,None.,"Adopt Lovable's matrix table shell, row grouping and status chips over the existing data hooks. This is the recommended first implementation row: highest visual payoff, real backing data, and no route or contract change.",None.,P0,Low,M,Phase 3 — core authenticated surfaces (recommended first row),Restyled matrix renders real parsed comments; response generation and export still work; no column shows placeholder data.,npx vitest run; manual comment-to-response round trip on a demo project,No,Recommended starting point per the audit directive. Not implemented in this documentation pass.
Delivery,—,Portal Harvest,/portals/harvest,static,none,sidebar → Delivery › Portal Harvest,direct URL,signed-in,none,Portal scraping status,View harvest runs,view only,—,—,static mock,Mock,Mock,always visible,src/pages/PortalHarvest.tsx,src/App.tsx,—,L024,Portal Data Viewer,/portal-data,Yes,src/pages/PortalDataViewer.tsx; scraper-service/app/routes/*,Sidebar → Portal Data,Signed-in via ProtectedLayoutRoute,Live scraper output + Supabase portal records,scraper-service HTTP API; check-portal-status; fetch-permit-data; permit-status-monitor,Yes,Working,Strong functional match,High,Partial — Lovable's harvest-run list styling is the target,PermitPilot is far ahead — Lovable shows mock harvest runs; PermitPilot shows real scraper results,Keep PP route,/portal-data,"Use ""Portal Harvest"" as the nav label if the client expects it, pointing at /portal-data",Delivery group in the sidebar,n/a,No,"Medium — run status must reflect real scraper state, never an optimistic mock","Preserve the scraper API contract, credential handling and portal status polling. Do not change scraper behavior for styling reasons.",Do not fabricate harvest-run history.,None.,"Adopt Lovable's run list, status badge and detail panel styling.",Scraper changes would need a Railway development deploy; styling alone does not.,P1,Medium,M,Phase 4 — delivery and intelligence surfaces,Restyled viewer shows real scraper runs and statuses; no scraper contract change; no fabricated runs.,node --test scraper-service/tests; manual /portal-data smoke,No,Mapping confirmed: Lovable /portals/harvest ↔ PermitPilot /portal-data.
Delivery,—,Master Matrix,/matrix,static,none,direct URL,—,signed-in,none,Umbrella matrix,View,view only,—,—,static mock,Mock,Mock,direct URL only,src/pages/MasterMatrix.tsx,src/App.tsx,—,L025,— (no PermitPilot equivalent),— (none),No,— (none),Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,Not implemented,Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Do not build,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,Medium — an umbrella page invites tiles for surfaces that do not exist,"No PermitPilot logic exists on this path, so nothing to preserve.",Do not build. /response-matrix and /permit-wizard-filing are already first-class sidebar entries.,"New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,No PermitPilot data model; no confirmed client requirement; no owner.,P3,Low,S,Out of scope — deferred indefinitely,No acceptance criteria: row is explicitly out of scope. This matrix must be updated (with an owner and a backend plan) before any work begins.,n/a — nothing to test until scope changes,No — the decision is already recorded as do-not-build. Reopening it requires a matrix update naming an owner and a backend plan.,PermitPilot deliberately has no /matrix namespace.
Delivery,Matrix,Unified Matrix,/matrix/unified,static,none,direct URL,—,signed-in,none,Unified task matrix,View grouped tasks,view only,—,—,static mock,Mock,Mock,direct URL only,src/pages/UnifiedMatrix.tsx,src/App.tsx,—,L026,— (no PermitPilot equivalent),— (none),No,— (none),Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,Not implemented,Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Do not build,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,High — Lovable page is mock; replicating it would ship a convincing but empty surface,"No PermitPilot logic exists on this path, so nothing to preserve.",Do not build. Blocked on the task domain that L021 also requires.,"New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,No PermitPilot data model; no confirmed client requirement; no owner.,P3,High,XL,Out of scope — deferred indefinitely,No acceptance criteria: row is explicitly out of scope. This matrix must be updated (with an owner and a backend plan) before any work begins.,n/a — nothing to test until scope changes,No — the decision is already recorded as do-not-build. Reopening it requires a matrix update naming an owner and a backend plan.,Lovable page is mock.
Delivery,Matrix,AI Workflow,/matrix/ai-workflow,static,none,header → New Workflow button,direct URL,signed-in,none,AI-orchestrated workflow lanes,Create/manage lanes,"create, edit",lanes,New Workflow dialog,local state + localStorage,UI only,Partial,direct URL only,src/pages/AiWorkflow.tsx,src/App.tsx,Persists to localStorage only.,L027,"Agent pipeline (backend only, no workflow UI)",— (no route),No,supabase/functions/intake-pipeline-agent; auto-router-agent; permit-classifier-agent; guardian-quality-agent; validate-completeness-agent,Not user-facing,Service-side,Supabase (per-agent tables) — no unified run log,intake-pipeline-agent; auto-router-agent; permit-classifier-agent; discipline-classifier-agent; guardian-quality-agent; validate-completeness-agent; license-validation-agent,Yes (backend),"Real backend, no UI",Backend match only,High,None — no workflow lane UI,"Inverted — PermitPilot has the real agents, Lovable has only the UI",Defer,Undecided — would need an agent run observability page,"If built, prefer ""Agent runs"" over ""AI Workflow""",Omit from PermitPilot navigation,n/a,Yes,High — lanes with no run data would be pure decoration,Preserve every existing agent edge function and its invocation path.,Do not replicate Lovable's localStorage persistence. Workflow state must live in Supabase or not exist.,"An agent_runs table with status, timing and error capture, written by the existing agent functions.",None until run data is persisted.,Needs an agent_runs schema and a decision on retention.,P2,Medium,L,Backlog — pairs with L033,Not scoped. Requires an agent_runs schema first.,n/a — nothing to test until scope changes,Yes — needs a product decision on whether PermitPilot should own this domain,"This row and L033 are the same underlying gap: real agents, no observability surface."
Delivery,—,Raze Permit,/raze,static,none,direct URL,—,signed-in,none,Demolition permit workflow,View,view only,—,—,static mock,Mock,Mock,direct URL only,src/pages/RazePermit.tsx,src/App.tsx,—,L028,— (no PermitPilot equivalent),— (none),No,— (none),Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,Not implemented,Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Do not build,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,High — Lovable page is mock; replicating it would ship a convincing but empty surface,"No PermitPilot logic exists on this path, so nothing to preserve.","Do not build. If demolition permits become a requirement, extend the existing permit application domain rather than adding a separate page.","New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,No PermitPilot data model; no confirmed client requirement; no owner.,P3,High,XL,Out of scope — deferred indefinitely,No acceptance criteria: row is explicitly out of scope. This matrix must be updated (with an owner and a backend plan) before any work begins.,n/a — nothing to test until scope changes,No — the decision is already recorded as do-not-build. Reopening it requires a matrix update naming an owner and a backend plan.,Lovable page is mock.
Intelligence,—,DesignCheck (Compliance),/compliance,static,none,sidebar → Intelligence › DesignCheck,direct URL,signed-in,none,Compliance overview,View findings,view only,—,—,static mock,Mock,Mock,always visible,src/pages/Compliance.tsx,src/App.tsx,Sidebar badge 8.,L029,Code Compliance,/code-compliance,Yes,src/pages/CodeCompliance.tsx,Sidebar → Code Compliance,Signed-in via ProtectedLayoutRoute,Supabase compliance findings + uploaded drawings,analyze-drawing; ingest-project-document; context-reference-engine,Yes,Working,Partial match,High,Partial — Lovable splits landing and analyzer into two pages; PermitPilot has one,"PermitPilot is ahead — Lovable's landing page is mock, PermitPilot's findings are real",Fold into existing PP surface,/code-compliance,"Use ""DesignCheck"" only if the client insists; otherwise keep ""Code Compliance""",Intelligence group in the sidebar,n/a,No,"Medium — an overview band must summarise real findings, not invented counts","Preserve the analyze-drawing invocation, findings queries and document ingestion path.","Do not replicate Lovable's hard-coded sidebar badge of 8, and do not split the page in two just to mirror Lovable's structure.",None.,Adopt Lovable's overview band and findings-card styling on the single existing page.,None.,P2,Low,M,Phase 4 — delivery and intelligence surfaces,One /code-compliance page carries both overview and analyzer content; every count derives from a real query.,Manual drawing upload and analysis smoke on a demo project,No,L029 and L031 both resolve to /code-compliance; PermitPilot deliberately does not split them.
Intelligence,Compliance,Compliance Intelligence,/compliance/intelligence,static,none,direct URL,—,signed-in,none,Scoring dashboard,View,view only,—,—,static mock,Mock,Mock,direct URL only,src/pages/ComplianceIntelligence.tsx,src/App.tsx,—,L030,Code Compliance findings (unscored),/code-compliance,No,src/pages/CodeCompliance.tsx,Not present in PermitPilot navigation,n/a — surface does not exist,Supabase compliance findings,analyze-drawing,Partial,"Findings exist, no scoring",Missing in PermitPilot,High,None — no PermitPilot surface to compare,"Weak — real findings, no score model",Defer,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,"Medium — plausible future surface, but building it now would require mock data","No PermitPilot logic exists on this path, so nothing to preserve.","A separate compliance scoring dashboard would need a scoring model; PermitPilot's compliance data is finding-level, not scored.","New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,Needs an agreed compliance scoring methodology.,P3,Medium,L,Backlog — revisit after visual alignment phases complete,No acceptance criteria yet. Promote to a real phase only after a backend design exists and this matrix row is updated.,n/a — nothing to test until scope changes,Yes — needs a product decision on whether PermitPilot should own this domain,Lovable page is mock.
Intelligence,Compliance,Code Analyzer,/compliance/analyzer,static,none,sidebar → Intelligence › Code Analyzer,direct URL,signed-in,none,Upload drawings for AI analysis,"Upload, presets, edit notes, run analysis","upload, create, edit, delete, export",—,Preset notes editor,Supabase edge function analyze-compliance-drawings,Partially connected,Partial,always visible,src/pages/ComplianceAnalyzer.tsx,src/App.tsx,Presets persist locally.,L031,Code Compliance (drawing analyzer),/code-compliance,Yes,src/pages/CodeCompliance.tsx; supabase/functions/analyze-drawing,Sidebar → Code Compliance,Signed-in via ProtectedLayoutRoute,Uploaded drawings in Supabase Storage + analysis results,analyze-drawing; ingest-project-document; document-ingestion-worker,Yes,Working,Strong functional match,High,Partial — Lovable's upload panel and results list styling is the target,"Strong on both sides, and PermitPilot's ingestion path is more complete",Fold into existing PP surface,/code-compliance,"Use ""Code Analyzer"" as a section heading inside /code-compliance",Section of the Code Compliance page; no separate nav entry,n/a,No,Low — both sides call a real analysis function,"Preserve the analyze-drawing contract, upload validation, storage paths and the document ingestion worker handoff.",Do not persist analyzer presets to localStorage the way Lovable does; PermitPilot settings belong in Supabase.,None.,"Adopt Lovable's upload dropzone, preset panel and results list styling.",None.,P1,Medium,M,Phase 4 — delivery and intelligence surfaces,Upload and analysis still complete end to end; results bind to real analysis output; no preset stored outside Supabase.,Manual upload and analyze on a demo project; check the analyze-drawing function logs,No,Directive confirmed: Lovable Code Analyzer ↔ PermitPilot /code-compliance.
Intelligence,Compliance,Internal Prescreen,/compliance/prescreen,static,none,direct URL,—,staff/admin,none,Staff prescreen,Review,review,—,—,static mock,Mock,Mock,direct URL only,src/pages/InternalPrescreen.tsx,src/App.tsx,—,L032,Validation agents (backend only),— (no route),No,supabase/functions/validate-completeness-agent; guardian-quality-agent,Not user-facing,Service-side,"Agent outputs, no review queue",validate-completeness-agent; guardian-quality-agent; license-validation-agent,Yes (backend),"Real backend, no review UI",Backend match only,High,None — no prescreen UI,"Inverted — PermitPilot has real validation, Lovable has only the review screen",Defer,Undecided,n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,Medium — a review queue without assignment or state would be decorative,Preserve the validation agent invocations already wired into intake.,PermitPilot has the validation agents but no staff prescreen review queue or reviewer assignment model.,A prescreen queue with reviewer assignment and review state.,None until the queue exists.,Needs a staff review workflow definition.,P2,Medium,M,Backlog,Not scoped. Requires a review queue schema.,n/a — nothing to test until scope changes,Yes — needs a product decision on whether PermitPilot should own this domain,Real validation agents exist; only the human review surface is missing.
Intelligence,—,Agent Center,/agents,static,none,direct URL,—,signed-in,none,AI agent registry,View agents,view only,—,—,static mock,Mock,Mock,direct URL only,src/pages/AgentCenter.tsx,src/App.tsx,—,L033,"Agent functions (backend only, no registry UI)",— (no route),No,"supabase/functions/* (auto-router-agent, comment-parser-agent, permit-classifier-agent, discipline-classifier-agent, intake-pipeline-agent, property-intelligence-agent, guardian-quality-agent, validate-completeness-agent, license-validation-agent, document-preparation-agent)",Not user-facing,Service-side,Per-agent outputs; no unified registry or run log,10+ agent edge functions,Yes (backend),"Real backend, no UI",Backend match only,High,None — no registry UI,Inverted — PermitPilot's agents are real; Lovable's registry is a static list,Defer,Undecided — pairs with L027,n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,High — a registry showing 'healthy' without real telemetry would actively mislead,Preserve all agent functions and their invocation paths.,"PermitPilot runs 12+ real agent functions but persists no run history, so an agent registry page would list capabilities without status.","Shared agent_runs telemetry (status, duration, error) written by every agent function.",None until telemetry exists.,Same agent_runs schema as L027.,P2,Medium,L,Backlog — pairs with L027,Not scoped. Requires agent run telemetry.,n/a — nothing to test until scope changes,Yes — needs a product decision on whether PermitPilot should own this domain,Strongest example of PermitPilot being ahead of Lovable on the backend and behind on the UI.
Intelligence,—,Document Vault,/documents,static,none,direct URL,—,signed-in,none,Document library,Browse files,view only,—,—,static mock,Mock,Mock,direct URL only,src/pages/DocumentVault.tsx,src/App.tsx,—,L034,"Project documents (contextual, no vault page)",/uci?section=application-builder (Documents drawer tab); /portal-data,"Partial — document surfaces exist, no vault route",src/pages/UciDashboard.tsx (documents tab); document-ingestion-worker/; supabase/functions/ingest-project-document,Inside the UCI coordination drawer,Signed-in; documents RLS-scoped per project,Supabase project documents + Storage,ingest-project-document; document-ingestion-worker; document-preparation-agent,Yes,Working (contextual),Backend match only,High,Weak — no cross-project document browser,Strong on storage and ingestion; missing only the aggregate view,Defer,Undecided — a cross-project document view could be added later,"If built, use ""Documents""",Omit from PermitPilot navigation,n/a,Yes,Low — real documents exist; the risk is only scope creep,"Preserve ingestion, storage paths, RLS scoping and the document mapping used by permit filing.",Do not build a vault that bypasses per-project RLS scoping.,A cross-project document listing query respecting RLS.,Deferred: a document browser page over that query.,Needs a decision on cross-project document visibility rules.,P2,Medium,M,Backlog,Not scoped. Any vault must respect existing RLS scoping.,n/a — nothing to test until scope changes,Yes — cross-project document visibility is a permissions decision,Documents are real in PermitPilot; only the aggregate browser is absent.
Intelligence,—,Content Studio,/content-studio,static,none,direct URL,—,signed-in,none,Content authoring,Compose,edit,—,—,local state,UI only,Placeholder,direct URL only,src/pages/ContentStudio.tsx,src/App.tsx,—,L035,— (no PermitPilot equivalent),— (none),No,— (none),Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,Not implemented,Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Do not build,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,High — Lovable page is mock; replicating it would ship a convincing but empty surface,"No PermitPilot logic exists on this path, so nothing to preserve.",Do not build. Lovable's Content Studio is a UI-only placeholder with local state.,"New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,No PermitPilot data model; no confirmed client requirement; no owner.,P3,Medium,L,Out of scope — deferred indefinitely,No acceptance criteria: row is explicitly out of scope. This matrix must be updated (with an owner and a backend plan) before any work begins.,n/a — nothing to test until scope changes,No — the decision is already recorded as do-not-build. Reopening it requires a matrix update naming an owner and a backend plan.,"Lovable status is Placeholder, backend UI only."
Intelligence,—,Platform Architecture,/architecture,static,none,direct URL,—,signed-in,none,Architecture reference,View diagrams,view only,—,—,static,UI only,Working,direct URL only,src/pages/PlatformArchitecture.tsx,src/App.tsx,Different from /architecture-inventory.,L036,MVP Documentation + API Documentation,/mvp-documentation; /api-docs,Yes,src/pages/MVPDocumentation.tsx; src/pages/APIDocumentation.tsx,Direct URL; documentation links,Signed-in via ProtectedLayoutRoute,Static curated documentation,None,None (static by design),Working,Partial match,Medium,Partial — both are static reference pages with different structure,"Comparable — both are documentation surfaces, legitimately static",Fold into existing PP surface,/mvp-documentation,"Keep ""MVP Documentation""; do not introduce ""Platform Architecture""",Documentation links only; not a primary sidebar entry,n/a,No,None — static documentation is honestly static,Preserve the existing documentation content; restyling must not drop sections.,Do not add a third architecture page. This matrix is the architecture source of truth.,None.,Optional low-priority typography and layout alignment.,None.,P3,Low,S,Phase 7 — documentation and polish,Documentation pages keep all content after restyling; no new architecture page added.,Manual visit to /mvp-documentation and /api-docs,No,Lovable has both /architecture and /architecture-inventory; PermitPilot consolidates into repo docs plus these two pages.
Utility Coordination,—,UCI Hub,/uci,static,none,sidebar → Intelligence › Utility Coordination,dashboard/uci tab,role-gated (admin/staff/client),none,UCI landing,View UCI KPIs,navigate,—,—,static mock,Mock,Mock,role-based,src/pages/UciDashboard.tsx (via RequireUciAccess),src/App.tsx,Same component reused at /dashboard/uci unguarded.,L037,UCI Hub (Utility Coordination),/uci,Yes,src/pages/UciDashboard.tsx; src/lib/uciNavSections.ts; src/components/layout/UciSidebarNav.tsx,Sidebar → Utility Coordination (expandable group),"Signed-in via ProtectedLayoutRoute, inside an ErrorBoundary","Live scraper + Supabase UCI coordination records, per project",scraper-service /api/uci; uci-pepco-discovery.service; check-portal-status,Yes,Working,Strong functional match,High,"Partial — PermitPilot's hub already exceeds Lovable's; alignment is about chrome, not content",PermitPilot is far ahead — Lovable's hub is static mock KPIs,Keep PP route,/uci,"Use ""Utility Coordination"" as the group label and ""Overview"" for this section",Expandable sidebar group with section children,/uci?section=overview,No,Medium — KPI tiles must stay bound to live rollups,"Preserve the live scraper integration, coordination records, stage rail, attention queue, per-project scoping and the ErrorBoundary wrapper.",Do not split the hub into Lovable's nine separate /uci/* routes.,None.,"Align KPI band, stage rail and record table styling with Lovable's UCI hub.",None.,P0,Medium,M,Phase 3 — core authenticated surfaces,Hub renders live coordination data with the new styling; all existing UCI vitest suites pass; no new /uci/* route added.,npx vitest run src/pages/uciDashboard.*.test.ts,No,src/App.tsx lines 166-175; the expandable nav vocabulary is already in src/lib/uciNavSections.ts.
Utility Coordination,UCI,UCI · Submissions,/uci/submissions,static,none,sidebar → Intelligence › UCI · Submissions,direct URL,role-gated,none,Submission tracker,View submissions,view only,—,—,static mock,Mock,Mock,role-based,src/pages/UciSubmissions.tsx,src/App.tsx,—,L038,Submissions,/uci?section=submissions&tab=application-prep,"Partial — section of /uci, not a standalone route",src/pages/UciDashboard.tsx; src/lib/uciNavSections.ts; src/components/layout/UciSidebarNav.tsx,"Expandable sidebar → Utility Coordination › Submissions (UciSidebarNav, support=""partial"")",Signed-in via ProtectedLayoutRoute; UCI data scoped per project,Live scraper + Supabase UCI coordination records (per project),scraper-service /api/uci; check-portal-status,Partial,Partial,Partial match,High,Partial — per-record submission tracking exists; no cross-project submissions table,"Partial — real per-record submissions, no portfolio-wide view",Deep link (query param),/uci?section=submissions,"Use Lovable label ""Submissions"" in the UCI sidebar",UCI expandable sidebar group; no top-level nav entry,"uciSectionHref(""submissions"") → tab ""application-prep""",No,Low — deep link lands on real data,Preserve per-record submission and tracking behavior in the Application prep drawer tab.,Do not create a /uci/submissions route. The directive is explicit: use ?section= instead.,"A cross-project submissions rollup query, if a portfolio view is later required.",Ensure the sidebar entry deep-links to ?section=submissions and the partial-support banner stays visible.,Requires an open coordination record before the drawer tab can render.,P1,Low,S,Phase 3 — core authenticated surfaces,Clicking Submissions lands on the Application prep tab of a real record and the 'cross-project hub not connected' note remains visible.,npx vitest run src/pages/uciDashboard.*.test.ts,No,"UCI_NAV_SECTIONS declares support=""partial"" with target drawer-tab application-prep."
Utility Coordination,UCI,UCI · Inbox / Communications,/uci/communications,static,none,sidebar → Intelligence › UCI · Inbox,direct URL,role-gated,none,Utility comms inbox,View messages,view only,—,—,static mock,Mock,Mock,role-based,src/pages/UciCommunications.tsx,src/App.tsx,—,L039,Communications / Inbox,/uci?section=communications&tab=communications,"Partial — section of /uci, not a standalone route",src/pages/UciDashboard.tsx; src/lib/uciNavSections.ts; src/components/layout/UciSidebarNav.tsx,"Expandable sidebar → Utility Coordination › Communications / Inbox (UciSidebarNav, support=""partial"")",Signed-in via ProtectedLayoutRoute; UCI data scoped per project,Live scraper + Supabase UCI coordination records (per project),scraper-service /api/uci; check-portal-status,Partial,Partial,Partial match,High,Partial — per-record portal communications exist; no cross-project inbox,"Partial — real portal messages per record, no unified inbox",Deep link (query param),/uci?section=communications,"Use Lovable label ""Communications / Inbox"" in the UCI sidebar",UCI expandable sidebar group; no top-level nav entry,"uciSectionHref(""communications"") → tab ""communications""",No,Low — deep link lands on real data,Preserve per-record portal communications retrieval.,"Do not create /uci/communications, and do not present a cross-project inbox that does not exist.","A cross-project message rollup, if an inbox is later required.",Style the communications drawer tab; keep the partial-support banner.,Requires an open coordination record before the drawer tab can render.,P1,Low,S,Phase 3 — core authenticated surfaces,Communications deep link opens the real per-record thread with the not-connected note intact.,npx vitest run src/pages/uciDashboard.*.test.ts,No,"UCI_NAV_SECTIONS support=""partial"", target drawer-tab communications."
Utility Coordination,UCI,UCI · Class of Service,/uci/class-of-service,static,none,sidebar → Intelligence › UCI · Class of Service,direct URL,role-gated,none,Class-of-service catalog,Browse,view only,—,—,static mock,Mock,Mock,role-based,src/pages/UciClassOfService.tsx,src/App.tsx,—,L040,Class of Service,/uci?section=class-of-service&tab=cos,"Partial — section of /uci, not a standalone route",src/pages/UciDashboard.tsx; src/lib/uciNavSections.ts; src/components/layout/UciSidebarNav.tsx,"Expandable sidebar → Utility Coordination › Class of Service (UciSidebarNav, support=""partial"")",Signed-in via ProtectedLayoutRoute; UCI data scoped per project,Live scraper + Supabase UCI coordination records (per project),scraper-service /api/uci; check-portal-status,Partial,Partial,Partial match,High,Partial — per-record COS analysis exists; no predictive portfolio table,"Partial — real COS per record, no portfolio prediction",Deep link (query param),/uci?section=class-of-service,"Use Lovable label ""Class of Service"" in the UCI sidebar",UCI expandable sidebar group; no top-level nav entry,"uciSectionHref(""class-of-service"") → tab ""cos""",No,Low — deep link lands on real data,Preserve per-record COS analysis logic.,"Do not create /uci/class-of-service, and do not fabricate a predictive portfolio COS table.","A portfolio COS model, only if the client requires prediction.",Style the COS drawer tab; keep the partial-support banner.,Requires an open coordination record before the drawer tab can render.,P1,Low,S,Phase 3 — core authenticated surfaces,COS deep link opens the real per-record analysis; no predictive table is shown.,npx vitest run src/pages/uciDashboard.*.test.ts,No,"UCI_NAV_SECTIONS support=""partial"", target drawer-tab cos."
